driver_id,constructor_id,race_id,race_name,season,fp1_best_time,fp2_best_time,fp3_best_time,fp1_avg_time,fp2_avg_time,fp3_avg_time
zhou,alfa,19,Mexico City Grand Prix,2023,0 days 00:01:21.129000,0 days 00:01:19.415000,0 days 00:01:18.917000,0 days 00:01:22.603714285,0 days 00:01:20.711250,0 days 00:01:20.833000
bottas,alfa,19,Mexico City Grand Prix,2023,0,0 days 00:01:18.955000,0 days 00:01:18.437000,0,0 days 00:01:20.360125,0 days 00:01:20.029400
sargeant,williams,19,Mexico City Grand Prix,2023,0 days 00:01:21.157000,0 days 00:01:19.900000,0 days 00:01:18.718000,0 days 00:01:21.308333333,0 days 00:01:21.008250,0 days 00:01:19.253500
stroll,aston_martin,19,Mexico City Grand Prix,2023,0 days 00:01:20.687000,0 days 00:01:20.075000,0 days 00:01:19.094000,0 days 00:01:22.265666666,0 days 00:01:20.849600,0 days 00:01:19.966500
alonso,aston_martin,19,Mexico City Grand Prix,2023,0 days 00:01:21.347000,0 days 00:01:20.426000,0 days 00:01:19.471000,0 days 00:01:22.524375,0 days 00:01:21.282333333,0 days 00:01:19.984714285
kevin_magnussen,haas,19,Mexico City Grand Prix,2023,0,0 days 00:01:20.112000,0 days 00:01:19.573000,0,0 days 00:01:20.910750,0 days 00:01:19.573000
perez,red_bull,19,Mexico City Grand Prix,2023,0 days 00:01:20.015000,0 days 00:01:18.988000,0 days 00:01:18.026000,0 days 00:01:21.077600,0 days 00:01:20.346000,0 days 00:01:19.269200
max_verstappen,red_bull,20,São Paulo Grand Prix,2023,0 days 00:01:12.793000,0,0,0 days 00:01:13.269500,0,0
norris,mclaren,20,São Paulo Grand Prix,2023,0 days 00:01:13.629000,0,0,0 days 00:01:14.032166666,0,0
alonso,aston_martin,20,São Paulo Grand Prix,2023,0 days 00:01:12.615000,0,0,0 days 00:01:14.115500,0,0
perez,red_bull,20,São Paulo Grand Prix,2023,0 days 00:01:13.056000,0,0,0 days 00:01:13.679000,0,0
stroll,aston_martin,20,São Paulo Grand Prix,2023,0 days 00:01:12.136000,0,0,0 days 00:01:13.733400,0,0
sainz,ferrari,20,São Paulo Grand Prix,2023,0 days 00:01:11.732000,0,0,0 days 00:01:14.158333333,0,0
gasly,alpine,20,São Paulo Grand Prix,2023,0 days 00:01:12.184000,0,0,0 days 00:01:14.016750,0,0
hamilton,mercedes,20,São Paulo Grand Prix,2023,0 days 00:01:12.638000,0,0,0 days 00:01:14.115600,0,0
tsunoda,alphatauri,20,São Paulo Grand Prix,2023,0 days 00:01:12.714000,0,0,0 days 00:01:13.705333333,0,0
ocon,alpine,20,São Paulo Grand Prix,2023,0 days 00:01:12.779000,0,0,0 days 00:01:14.046500,0,0
sargeant,williams,20,São Paulo Grand Prix,2023,0 days 00:01:12.579000,0,0,0 days 00:01:13.684200,0,0
hulkenberg,haas,20,São Paulo Grand Prix,2023,0 days 00:01:11.928000,0,0,0 days 00:01:13.805750,0,0
ricciardo,alphatauri,20,São Paulo Grand Prix,2023,0 days 00:01:12.778000,0,0,0 days 00:01:13.991250,0,0
piastri,mclaren,20,São Paulo Grand Prix,2023,0 days 00:01:13.838000,0,0,0 days 00:01:14.469333333,0,0
russell,mercedes,20,São Paulo Grand Prix,2023,0 days 00:01:11.865000,0,0,0 days 00:01:13.951500,0,0
bottas,alfa,20,São Paulo Grand Prix,2023,0 days 00:01:13.012000,0,0,0 days 00:01:13.892833333,0,0
zhou,alfa,20,São Paulo Grand Prix,2023,0 days 00:01:12.481000,0,0,0 days 00:01:13.727600,0,0
kevin_magnussen,haas,20,São Paulo Grand Prix,2023,0 days 00:01:12.592000,0,0,0 days 00:01:13.657800,0,0
albon,williams,20,São Paulo Grand Prix,2023,0 days 00:01:12.044000,0,0,0 days 00:01:13.607500,0,0
leclerc,ferrari,20,São Paulo Grand Prix,2023,0 days 00:01:11.840000,0,0,0 days 00:01:13.506571428,0,0
max_verstappen,red_bull,21,Las Vegas Grand Prix,2023,0 days 00:01:44.397000,0 days 00:01:36.183000,0 days 00:01:34.653000,0 days 00:01:44.798500,0 days 00:01:38.214083333,0 days 00:01:35.412500
leclerc,ferrari,21,Las Vegas Grand Prix,2023,0 days 00:01:40.909000,0 days 00:01:35.265000,0 days 00:01:35.908000,0 days 00:01:42.464000,0 days 00:01:38.298062500,0 days 00:01:37.221500
perez,red_bull,21,Las Vegas Grand Prix,2023,0,0 days 00:01:36.085000,0 days 00:01:34.706000,0,0 days 00:01:38.299555555,0 days 00:01:35.352000
ocon,alpine,21,Las Vegas Grand Prix,2023,0 days 00:01:45.365000,0 days 00:01:37.241000,0 days 00:01:35.297000,0 days 00:01:45.365000,0 days 00:01:38.386000,0 days 00:01:36.364750
