driver_id,constructor_id,race_id,race_name,season,qual_position,qual_time,sect1,sect2,sect3,speed1,speed2,speedfl
ocon,alpine,3,Portuguese Grand Prix,2021,6.0,0 days 00:01:19.042000,0 days 00:00:22.735000,0 days 00:00:30.228000,0 days 00:00:25.623000,287.0,196.0,297.0
norris,mclaren,3,Portuguese Grand Prix,2021,7.0,0 days 00:01:19.116000,0 days 00:00:22.662000,0 days 00:00:29.965000,0 days 00:00:25.854000,289.0,196.0,292.0
leclerc,ferrari,3,Portuguese Grand Prix,2021,8.0,0 days 00:01:19.306000,0 days 00:00:22.733000,0 days 00:00:30.125000,0 days 00:00:25.911000,286.0,198.0,290.0
gasly,alphatauri,3,Portuguese Grand Prix,2021,9.0,0 days 00:01:19.475000,0 days 00:00:22.845000,0 days 00:00:30.186000,0 days 00:00:26.021000,289.0,194.0,290.0
russell,williams,3,Portuguese Grand Prix,2021,11.0,0 days 00:01:19.109000,0 days 00:00:22.757000,0 days 00:00:30.396000,0 days 00:00:25.956000,289.0,196.0,294.0
alonso,alpine,3,Portuguese Grand Prix,2021,13.0,0 days 00:01:19.456000,0 days 00:00:23.002000,0 days 00:00:30.455000,0 days 00:00:25.999000,287.0,197.0,295.0
tsunoda,alphatauri,3,Portuguese Grand Prix,2021,14.0,0 days 00:01:19.463000,0 days 00:00:22.909000,0 days 00:00:30.595000,0 days 00:00:25.959000,290.0,190.0,290.0
ricciardo,mclaren,3,Portuguese Grand Prix,2021,16.0,0 days 00:01:19.839000,0 days 00:00:22.911000,0 days 00:00:30.706000,0 days 00:00:26.222000,290.0,194.0,290.0
stroll,aston_martin,3,Portuguese Grand Prix,2021,17.0,0 days 00:01:19.913000,0 days 00:00:23.169000,0 days 00:00:30.556000,0 days 00:00:26.188000,289.0,183.0,288.0
hamilton,mercedes,4,Spanish Grand Prix,2021,1.0,0 days 00:01:16.741000,0 days 00:00:21.798000,0 days 00:00:28.543000,0 days 00:00:26.400000,287.0,304.0,285.0
max_verstappen,red_bull,4,Spanish Grand Prix,2021,2.0,0 days 00:01:16.777000,0 days 00:00:21.759000,0 days 00:00:28.723000,0 days 00:00:26.295000,288.0,305.0,284.0
bottas,mercedes,4,Spanish Grand Prix,2021,3.0,0 days 00:01:16.873000,0 days 00:00:21.832000,0 days 00:00:28.612000,0 days 00:00:26.429000,282.0,304.0,285.0
leclerc,ferrari,4,Spanish Grand Prix,2021,4.0,0 days 00:01:17.510000,0 days 00:00:21.880000,0 days 00:00:28.822000,0 days 00:00:26.808000,287.0,302.0,278.0
ocon,alpine,4,Spanish Grand Prix,2021,5.0,0 days 00:01:17.580000,0 days 00:00:21.861000,0 days 00:00:29.087000,0 days 00:00:26.632000,286.0,304.0,286.0
sainz,ferrari,4,Spanish Grand Prix,2021,6.0,0 days 00:01:17.620000,0 days 00:00:21.942000,0 days 00:00:28.908000,0 days 00:00:26.770000,288.0,302.0,279.0
ricciardo,mclaren,4,Spanish Grand Prix,2021,7.0,0 days 00:01:17.622000,0 days 00:00:21.773000,0 days 00:00:29.067000,0 days 00:00:26.782000,286.0,303.0,285.0
perez,red_bull,4,Spanish Grand Prix,2021,8.0,0 days 00:01:17.701000,0 days 00:00:21.883000,0 days 00:00:29.082000,0 days 00:00:26.704000,289.0,306.0,281.0
norris,mclaren,4,Spanish Grand Prix,2021,9.0,0 days 00:01:18.010000,0 days 00:00:21.830000,0 days 00:00:29.021000,0 days 00:00:26.845000,287.0,302.0,287.0
alonso,alpine,4,Spanish Grand Prix,2021,10.0,0 days 00:01:18.147000,0 days 00:00:21.928000,0 days 00:00:29.124000,0 days 00:00:26.914000,284.0,302.0,282.0
stroll,aston_martin,4,Spanish Grand Prix,2021,11.0,0 days 00:01:17.974000,0 days 00:00:21.925000,0 days 00:00:29.081000,0 days 00:00:26.968000,284.0,297.0,285.0
gasly,alphatauri,4,Spanish Grand Prix,2021,12.0,0 days 00:01:17.982000,0 days 00:00:22.037000,0 days 00:00:29.002000,0 days 00:00:26.943000,287.0,306.0,284.0
russell,williams,4,Spanish Grand Prix,2021,15.0,0 days 00:01:19.154000,0 days 00:00:21.913000,0 days 00:00:29.401000,0 days 00:00:27.131000,283.0,301.0,285.0
tsunoda,alphatauri,4,Spanish Grand Prix,2021,16.0,0 days 00:01:18.556000,0 days 00:00:22.094000,0 days 00:00:29.369000,0 days 00:00:27.093000,288.0,304.0,283.0
leclerc,ferrari,5,Monaco Grand Prix,2021,1.0,0 days 00:01:10.346000,0 days 00:00:18.612000,0 days 00:00:32.983000,0 days 00:00:18.751000,223.0,208.0,269.0
max_verstappen,red_bull,5,Monaco Grand Prix,2021,2.0,0 days 00:01:10.576000,0 days 00:00:18.472000,0 days 00:00:33.349000,0 days 00:00:18.755000,222.0,207.0,270.0
